Date,IPO_Name,Issue_Size(crores),QIB,HNI,RII,Issue_price,Listing_Open,Listing_Close,Listing_Gains(%),CMP,Current_gains,Issue_Size_Cr,Listing_Gain_%
2010-10-03,Texmo Pipes,45.0,1.02,30.5,7.26,90.0,92.8,137.25,52.5,78.8,-12.44,45.0,3.111111111111108
2010-03-03,ARSS Infra,103.0,49.34,124.53,18.55,450.0,640.0,736.3,63.62,31.95,-92.9,103.0,42.22222222222222
2010-02-25,Hathway Cable,735.4,1.43,4.29,0.28,240.0,246.0,41.56,-82.68,19.6,-91.83,735.4,2.5
2010-02-24,DB Realty,1500.0,1.35,1.21,0.01,468.0,452.1,455.4,-2.69,107.6,-77.01,1500.0,-3.3974358974358925
2010-02-24,Emmbi Ind,43.08,0.43,5.55,0.46,45.0,46.0,28.65,-36.33,101.45,125.44,43.08,2.2222222222222223
2010-02-23,Aqua Logistics,150.0,0.26,5.07,3.0,220.0,225.0,24.46,-88.88,1.4,-99.36,150.0,2.272727272727273
2010-02-19,Thangamayil,0.0,0.52,1.52,2.26,75.0,70.0,71.1,-5.2,1115.0,1386.67,0.0,-6.666666666666667
2010-02-15,Syncom Health,56.25,0.99,16.6,6.25,75.0,88.0,87.85,17.13,4.06,-94.59,56.25,17.333333333333336
2010-02-15,Vascon Engineer,199.8,1.12,3.65,0.62,165.0,155.9,146.38,-11.28,26.5,-83.94,199.8,-5.515151515151512
2010-08-02,Jubilant Food,328.7,59.39,51.95,3.79,145.0,160.0,114.5,-21.03,2997.15,1967.0,328.7,10.344827586206897
2010-03-02,Infinite Comp,189.8,48.44,106.02,11.08,165.0,178.35,184.51,11.82,473.75,187.12,189.8,8.090909090909088
